Broker,Stock Symbol,Quantity,Amount,Average Rate
18,NICLBSL,-20.0,-23790.0,1189.5
18,NIFRA,-100.0,-35826.0,358.26
18,NIL,-15.0,-18825.0,1255.0
18,NMB,447.0,177681.0,397.496644295302
18,NMB50,-7900.0,-94326.0,11.94
18,NRIC,-40.0,-55004.0,1375.1
18,NRN,-30.0,-21351.0,711.7
18,NUBL,-13.0,-19799.0,1523.0
18,PCBL,260.0,121882.5,468.77884615384613
18,PLI,-20.0,-12040.0,602.0
18,PROFL,-150.0,-63850.0,425.6666666666667
18,RHPL,250.0,95500.0,382.0
18,RLFL,300.0,170100.0,567.0
18,RLI,-20.0,-10400.0,520.0
18,RMDC,1010.0,1490720.0,1475.960396039604
18,RSDC,55.0,47025.0,855.0
18,SAHAS,-120.0,-83940.0,699.5
18,SANIMA,921.0,355509.0,386.00325732899023
18,SAPDBL,493.0,198679.0,403.0
18,SBI,-584.0,-204788.8,350.6657534246575
18,SBL,1924.0,952380.0,495.0
18,SGI,-10.0,-6060.0,606.0
18,SHEL,30.0,13179.0,439.3
18,SHINE,-410.0,-216250.0,527.439024390244
18,SHIVM,150.0,200250.0,1335.0
18,SHPC,1504.0,632456.0,420.5159574468085
